file,format,original_px,optimized_px,original_bytes,optimized_bytes,saving_%
лесная_фея_в_полёте_с_волшебной_палочкой.png,PNG,1536x1024,800x533,2453869,237517,90.3
юный_пилот_в_акульей_мини_субмарине.png,PNG,1536x1024,800x533,2389232,222376,90.7
соколиный_скиталец_в_полёте.png,PNG,1536x1024,800x533,2339173,186361,92.0
лис_пилот_на_стимпанк_глайдере.png,PNG,1536x1024,800x533,2521620,291663,88.4
пилот_в_стремительном_космолёте.png,PNG,1536x1024,800x533,2293946,178096,92.2
алый_ара_авантюрист_в_полёте.png,PNG,1536x1024,800x533,2358400,283391,88.0
подводный_исследователь_на_акваскутере_мантe.png,PNG,1536x1024,800x533,2397994,236645,90.1
милый_подводный_герой_с_пузырьками.png,PNG,1024x1024,800x800,1648614,397059,75.9
яркий_попугай_в_полёте.png,PNG,1024x1024,800x800,1518527,379025,75.0
ниндзя_на_футуристическом_ховерборде.png,PNG,1536x1024,800x533,2325172,226939,90.2
оранжевая_рыбка_с_пузырьковым_ранцем.png,PNG,1024x1024,800x800,1538052,330088,78.5
ракета_герой_с_пилотом_щенком.png,PNG,1024x1024,800x800,1623569,437597,73.0
кибернетический_ворон_курьер_в_полёте.png,PNG,1536x1024,800x533,2475520,325061,86.9
сияющая_фея_с_золотой_волшебной_палочкой.png,PNG,1024x1024,800x800,1630337,606341,62.8
киберпчела_разведчик_в_полёте.png,PNG,1536x1024,800x533,2337011,203646,91.3
юная_ведьма_на_волшебной_метле.png,PNG,1536x1024,800x533,2378160,231471,90.3
летучая_мышь_авиатор_со_стимпанк_реактивным_ранцем.png,PNG,1536x1024,800x533,2324751,215373,90.7
милый_зелёный_дракон_в_полёте.png,PNG,1024x1024,800x800,1506355,313595,79.2
изумрудный_дракон_в_полёте.png,PNG,1536x1024,800x533,2268605,187869,91.7
весёлая_пчёлка_в_полёте.png,PNG,1024x1024,800x800,1564243,331237,78.8
вертикальная_колонна_пушистых_облаков.png,PNG,1024x1536,600x900,2283060,328360,85.6
вертикальная_лиана_с_зелёными_листьями.png,PNG,1024x1536,600x900,2242622,151053,93.3
вертикальный_барьер_магической_энергии.png,PNG,1024x1536,600x900,2228716,272633,87.8
каменный_шпиль_с_острыми_гранями.png,PNG,1024x1536,600x900,2466221,306223,87.6
ледяная_преграда_с_сияющими_сосульками.png,PNG,1024x1536,600x900,2187350,168565,92.3
мультяшная_ветвистая_преграда_с_зелёными_листьями.png,PNG,1024x1536,600x900,1851915,162691,91.2
мультяшная_спиральная_лиана_с_листьями.png,PNG,1024x1536,600x900,1739815,130578,92.5
неоновый_лазерный_барьер_будущего.png,PNG,1024x1536,600x900,2183719,163212,92.5
остроконечный_сталактит_в_тёплых_тонах.png,PNG,1024x1536,600x900,2381913,278896,88.3
разрушенная_колонна_с_зелёными_лозами.png,PNG,1024x1536,600x900,2529676,348674,86.2
сияющий_магический_энергетический_барьер.png,PNG,1024x1536,600x900,2379756,293674,87.7
спиральная_колонна_причудливых_корней.png,PNG,1024x1536,600x900,1953837,215657,89.0
фиолетовое_щупальце_с_присосками.png,PNG,1024x1536,600x900,2325825,245424,89.4
яркий_коралловый_барьер_для_подводной_игры.png,PNG,1024x1536,600x900,2367619,276213,88.3
парящие_крепости_над_морем_облаков.png,WEBP,1672x941,1672x941,1873418,99750,94.7
изумрудные_острова_древних_руин.png,WEBP,1536x1024,1536x1024,2808762,457662,83.7
изумрудные_руины_среди_облаков.png,WEBP,1536x1024,1536x1024,3805913,654686,82.8
изумрудные_руины_в_небесной_долине.png,WEBP,1536x1024,1536x1024,3096625,459938,85.1
лунный_каньон_волшебного_леса.png,WEBP,1672x941,1672x941,2412055,209436,91.3
лунная_долина_древних_руин.png,WEBP,1672x941,1672x941,2011175,104376,94.8
лунный_каньон_зачарованного_леса.png,WEBP,1536x1024,1536x1024,3196787,548530,82.8
волшебная_лунная_рамка_леса.png,WEBP,1536x1024,1536x1024,2908622,389220,86.6
неоновый_мегаполис_над_облаками.png,WEBP,1672x941,1672x941,2132155,177360,91.7
неоновый_город_среди_облаков.png,WEBP,1672x941,1672x941,1899946,123694,93.5
футуристический_город_среди_облаков.png,WEBP,1536x1024,1536x1024,2404293,406496,83.1
неоновый_полёт_над_облаками.png,WEBP,1536x1024,1536x1024,2817712,554172,80.3
